char_id,ontology,list_of_finest_character
51,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
52,hao,"http://purl.obolibrary.org/obo/HAO_0002212"
52,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
53,hao,"http://purl.obolibrary.org/obo/HAO_0002232"
53,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
54,hao,"http://purl.obolibrary.org/obo/HAO_0002206"
54,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
55,hao,"http://purl.obolibrary.org/obo/HAO_0000686"
55,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
56,hao,"http://purl.obolibrary.org/obo/HAO_0000686"
56,pato,"http://purl.obolibrary.org/obo/PATO_0000066"
57,hao,"http://purl.obolibrary.org/obo/HAO_0002246"
57,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
58,hao,"http://purl.obolibrary.org/obo/HAO_0002482"
58,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
59,hao,"http://purl.obolibrary.org/obo/HAO_0000933,http://purl.obolibrary.org/obo/HAO_0001866"
59,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
60,hao,"http://purl.obolibrary.org/obo/HAO_0000785"
60,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
61,hao,"http://purl.obolibrary.org/obo/HAO_0002183"
61,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
62,hao,"http://purl.obolibrary.org/obo/HAO_0002183"
62,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
63,hao,"http://purl.obolibrary.org/obo/HAO_0002112,http://purl.obolibrary.org/obo/HAO_0000933"
63,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
64,hao,"http://purl.obolibrary.org/obo/HAO_0002112"
64,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
65,hao,"http://purl.obolibrary.org/obo/HAO_0000457"
65,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
66,hao,"http://purl.obolibrary.org/obo/HAO_0000368"
66,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
67,hao,"http://purl.obolibrary.org/obo/HAO_0000368"
67,pato,"http://purl.obolibrary.org/obo/PATO_0000141"
68,hao,"http://purl.obolibrary.org/obo/HAO_0000958,http://purl.obolibrary.org/obo/HAO_0000933"
68,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
69,hao,"http://purl.obolibrary.org/obo/HAO_0000853"
69,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
70,hao,"http://purl.obolibrary.org/obo/HAO_0000853,http://purl.obolibrary.org/obo/HAO_0000188"
70,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
71,hao,"http://purl.obolibrary.org/obo/HAO_0002287"
71,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
72,hao,"http://purl.obolibrary.org/obo/HAO_0000853,http://purl.obolibrary.org/obo/HAO_0002272"
72,pato,"http://purl.obolibrary.org/obo/PATO_0000122"
73,hao,"http://purl.obolibrary.org/obo/HAO_0000853"
73,pato,"http://purl.obolibrary.org/obo/PATO_0000133"
74,hao,"http://purl.obolibrary.org/obo/HAO_0001031"
